gas,no,no,Gasoline in any form is not allowed in carry-on.,Gasoline in any form is not allowed in carry-on.,https://www.tsa.gov/travel/security-screening/whatcanibring/items/gasoline,10_aerosol_insectiside.jpg,TXT-KEEP OUT F CAUT NET WEIGHT FLUSHING H T TTI CB-8O TM INSECTICIDE,OBJ-Packaged goods (0.87),Liquid (0.95),Bottle (0.90),Fluid (0.87),Paint (0.85),Plastic bottle (0.85),Drink (0.82),Gas (0.77),Electric blue (0.73),Service (0.72),Plastic (0.69),,,,,,,,,
gas,no,no,Gasoline in any form is not allowed in carry-on.,Gasoline in any form is not allowed in carry-on.,https://www.tsa.gov/travel/security-screening/whatcanibring/items/gasoline,13_adhesive_flammable.jfif,TXT-LLA LORILLA,OBJ-Packaged goods (0.83),Liquid (0.92),Amber (0.85),Fluid (0.82),Automotive tire (0.80),Automotive lighting (0.78),Drink (0.76),Bottle (0.76),Gas (0.69),Cylinder (0.67),Font (0.65),,,,,,,,,
water,maybe,yes,Less than 3.4oz/100 ml allowed,All allowed.,https://www.tsa.gov/travel/security-screening/whatcanibring/items/bottled-water,15_aerosol.jfif,TXT-,OBJ-Packaged goods (0.77),OBJ-Bottled and jarred packaged goods (0.56),Hand (0.96),Liquid (0.95),Bottle (0.95),Drinkware (0.94),White (0.92),Fluid (0.87),Glass bottle (0.87),Water (0.86),Water bottle (0.86),Finger (0.86),,,,,,,,
gas,no,no,Gasoline in any form is not allowed in carry-on.,Gasoline in any form is not allowed in carry-on.,https://www.tsa.gov/travel/security-screening/whatcanibring/items/gasoline,17_scuba_tanks.jfif,TXT-,OBJ-Container (0.65),Liquid (0.95),Fluid (0.87),Bottle (0.80),Gas (0.78),Cylinder (0.74),Composite material (0.68),Fashion accessory (0.66),Metal (0.64),Titanium (0.63),Electric blue (0.60),,,,,,,,,
gun,no,maybe,Firearms are not allowed in carry-on baggage.,Check with your airline to see if they allow firearms in checked bags.,https://www.tsa.gov/travel/security-screening/whatcanibring/items/bb-guns,19_firearm.jfif,TXT-,Air gun (0.90),Trigger (0.89),Gun barrel (0.81),Machine gun (0.80),Wood (0.79),Gun accessory (0.76),Metal (0.62),Composite material (0.55),Recreation (0.53),Gas (0.53),,,,,,,,,,
bullet,no,maybe,Ammunation is not allowed in carry-on baggage.,Check with your airline if ammunition is allowed in checked bags. Small arms ammunitions must be securely packed in fiber/wood or metal boxes or other packaging specifically designed to carry small amounts of ammunition.,https://www.tsa.gov/travel/security-screening/whatcanibring/items/ammunition,20_cartridge.jfif,TXT-,OBJ-Pen (0.62),Cone (0.83),Tints and shades (0.76),Bullet (0.72),Office supplies (0.72),Gun accessory (0.71),Metal (0.68),Lipstick (0.65),Ammunition (0.63),Liquid (0.59),Magenta (0.58),,,,,,,,,
gun,no,maybe,Firearms are not allowed in carry-on baggage.,Check with your airline to see if they allow firearms in checked bags.,https://www.tsa.gov/travel/security-screening/whatcanibring/items/bb-guns,21_shells.jfif,TXT-,OBJ-Packaged goods (0.80),OBJ-Packaged goods (0.75),OBJ-Packaged goods (0.74),OBJ-Packaged goods (0.67),OBJ-Packaged goods (0.64),OBJ-Packaged goods (0.64),OBJ-Packaged goods (0.58),OBJ-Packaged goods (0.57),OBJ-Packaged goods (0.56),OBJ-Packaged goods (0.51),Office supplies (0.85),Lipstick (0.85),Writing implement (0.85),Gun accessory (0.73),Font (0.68),Fashion accessory (0.67),Cylinder (0.67),Event (0.65),Metal (0.65),Battery (0.63)
battery,maybe,maybe,Dry batteries are allowed in both check-in and carry-on. Spillable batteries and Lithium ion batteries with 100+ watt hours are not allowed in both. Please check more info.,Lithium batteries are not allowed in check-in luggage. Please check more info for other details.,https://www.tsa.gov/travel/security-screening/whatcanibring/all?combine=Devices&page=1,22_lithium_battery.jpg,TXT-1.5V OLUME Enegitech AA Lithium Battery Professional on Batteries and Chargers wwww 3000mAh,OBJ-Battery (0.84),Liquid (0.93),Cosmetics (0.86),Fluid (0.86),Cylinder (0.79),Battery (0.77),Tints and shades (0.77),Paint (0.75),Service (0.73),Electric blue (0.72),Font (0.68),,,,,,,,,
laptop,yes,yes,Devices are allowed in carry-on baggage.,Devices are allowed in check-in baggage.,https://www.tsa.gov/travel/security-screening/whatcanibring/items/laptops,28_power_bank.jpg,TXT-,Laptop accessory (0.83),Gadget (0.81),Rectangle (0.78),Electronic device (0.75),Font (0.74),Multimedia (0.73),Cable (0.67),Electronic component (0.66),Computer component (0.65),Transparency (0.62),,,,,,,,,,
knife,no,yes,Tools that could be used as bludgeon are not allowed in carry-on baggage.,Any sharp objects in checked bags should be sheathed or securely wrapped to prevent injury to baggage handlers and inspectors.,https://www.tsa.gov/travel/security-screening/whatcanibring/items/axes-and-hatchets,30_knife.jfif,TXT-,OBJ-Kitchen knife (0.90),Tool (0.84),Knife (0.83),Kitchen utensil (0.79),Blade (0.79),Metal (0.67),Composite material (0.67),Household hardware (0.67),Natural material (0.66),Titanium (0.63),Everyday carry (0.63),,,,,,,,,
