App_logo.png,Azure (0.91),Rectangle (0.86),Font (0.85),Aqua (0.83),Material property (0.80),Circle (0.78),Electric blue (0.73),Symbol (0.71),Graphics (0.69),Logo (0.69),TXT-,,,
OrganicPackedMoongDaal.jpg,OBJ-Bagged packaged goods (0.61),Plant (0.88),Grass (0.78),Font (0.74),Sleeve (0.71),Packaging and labeling (0.70),Grassland (0.67),Logo (0.67),Soil (0.66),Snack (0.62),Pet supply (0.61),TXT-24 Mantra Organic www.24mantra.com 24. mantra ORGANIC GLUTEN FREE Live an organic life ORGANIC Grown without synthetic Pesticides & GMOS MOONG DAL Certified as per Indian, US & European Organic Standards USDA ORGANIC Jaivik Bharat Toll Free 1800 120 002424 Nan-EU Agriulture Product of India Call for tips on Nutrilion & Organic,
packed_jeera.jpg,OBJ-Animal (0.77),OBJ-Packaged goods (0.66),Felidae (0.87),Grass (0.79),Pet supply (0.73),Pattern (0.67),Font (0.67),Bird supply (0.66),Fur (0.64),Event (0.64),Soil (0.63),Terrestrial animal (0.61),TXT-gro Fresh Food Products,
person_holding_scissors.jpg,OBJ-Scissors (0.95),Tableware (0.90),Gesture (0.85),Eyewear (0.85),Finger (0.82),Wood (0.82),Thumb (0.82),Office instrument (0.78),Tool (0.73),Kitchen utensil (0.72),Scissors (0.72),TXT-NHOSTA,,
rice.jpg,OBJ-Bagged packaged goods (0.84),Rectangle (0.87),Font (0.81),Material property (0.80),Electric blue (0.74),Service (0.72),Brand (0.53),TXT-paring u Eatrn en lertehed Rice Mahatma AMERICA'S FAVORITE RICE Extro long Enriched Rice Arrox de Grano Lergo Enriquecido Mont,,,,,,
scissors.jpg,OBJ-Scissors (0.97),Scissors (0.88),Eye glass accessory (0.87),Wood (0.87),Office instrument (0.83),Tool (0.83),Font (0.79),Tints and shades (0.74),Circle (0.71),Rectangle (0.70),Eyewear (0.69),TXT-BAD N5210,,
Split_moong_packet.jpg,OBJ-1D barcode (0.68),OBJ-Food (0.52),Food (0.92),Ingredient (0.90),Rectangle (0.86),Cuisine (0.79),Dish (0.78),Font (0.77),Packaging and labeling (0.72),Staple food (0.71),Basmati (0.70),Rice (0.69),TXT-OU LAXMI Fadhion of Qality MOONG SPLIT 123246 18202 NET WT 2LB S TX d,
t-shirt-plant.jpg,OBJ-Top (0.90),Outerwear (0.95),Flower (0.94),Plant (0.92),Dress (0.90),Neck (0.89),Textile (0.88),Orange (0.87),Baby & toddler clothing (0.87),Sleeve (0.87),Dress shirt (0.87),TXT-,,
t-shirt-seed.jpg,OBJ-Person (0.94),Outerwear (0.95),Hairstyle (0.95),Arm (0.94),Shoulder (0.94),Facial expression (0.93),Dress shirt (0.90),Neck (0.89),Sleeve (0.87),Jersey (0.87),Waist (0.87),TXT-,,
unpacked_rice.jpg,OBJ-Food (0.60),Food (0.98),Staple food (0.88),Ingredient (0.88),Jasmine rice (0.88),Recipe (0.87),Rice (0.87),Cuisine (0.85),Dish (0.81),Produce (0.67),Basmati (0.64),TXT-,,
CLOTHES_folded_tee.jpg,TXT-,Sleeve (0.87),Rectangle (0.83),Comfort (0.80),Natural material (0.76),Magenta (0.73),Linens (0.72),Sportswear (0.72),Wool (0.71),Fur (0.69),Wood (0.68),,,
CLOTHES_folded_tee.png,TXT-,OBJ-Scarf (0.81),Outerwear (0.96),Shirt (0.95),Neck (0.88),Sleeve (0.87),Shorts (0.86),T-shirt (0.85),Headgear (0.82),Sportswear (0.82),Collar (0.79),Personal protective equipment (0.78),,
